worldchanging_topic,elysium_foundation,elysium_facet,coverage
Chinese cities of the future,FOUNDATION,Infrastructure,✅ Full
Lagos / Megacity innovations,FOUNDATION,Infrastructure,✅ Full
The hidden vitality of slums,COHÉSION,Communauté,✅ Full
Leapfrogging,VISION,Technologie,✅ Full
ICT4D,VISION,Technologie,✅ Full
Brazil's Telecentros,VISION,Éducation,✅ Full
Leapfrogging infrastructure,FOUNDATION,Infrastructure,✅ Full
Holistic problem solving,VISION,Pensée Systémique,✅ Full
Education and literacy,VISION,Éducation,✅ Full
Educating girls and empowering women,VISION,Éducation + COHÉSION—Identité,✅ Full
Public health,VITALITÉ,Santé,✅ Full
South-south science,VISION,Science,✅ Full
Copyfight,GOUVERNANCE,Droit & Justice,✅ Full
Urban community development,COHÉSION,Communauté,✅ Full
Community capital,COHÉSION,Communauté,✅ Full
Microfinance,AGENTIVITÉ,Finance,✅ Full
Social entrepreneurship,AGENTIVITÉ,Entrepreneuriat,✅ Full
Giving well,AGENTIVITÉ,Finance,✅ Full
The Barefoot College,VISION,Éducation,✅ Full
Travel and tourism,AGENTIVITÉ,Économie,✅ Full
Global culture,COHÉSION,Culture,✅ Full
Your money,AGENTIVITÉ,Finance,✅ Full
Creating business value from sustainability,AGENTIVITÉ,Entrepreneuriat,✅ Full
Green marketing,COHÉSION,Médias,✅ Full
Brands,AGENTIVITÉ,Entrepreneuriat,✅ Full
Thriving in a bright green economy,AGENTIVITÉ,Économie,✅ Full
Seeing the big picture,VISION,Pensée Systémique,✅ Full
Start-up 101,AGENTIVITÉ,Entrepreneuriat,✅ Full
Movement building,GOUVERNANCE,Démocratie,✅ Full
Networking politics,GOUVERNANCE,Communication,✅ Full
Amplifying your voice,GOUVERNANCE,Communication,✅ Full
Connecting with others,COHÉSION,Communauté,✅ Full
Tools for talking,GOUVERNANCE,Communication,✅ Full
Demanding transparency,GOUVERNANCE,Institutions,✅ Full
Demanding human rights,GOUVERNANCE,Droit & Justice,✅ Full
Watching the watchers,GOUVERNANCE,Institutions,✅ Full
Protest,GOUVERNANCE,Démocratie,✅ Full
Direct action,GOUVERNANCE,Démocratie,✅ Full
Nonviolent revolution,GOUVERNANCE,Sécurité,✅ Full
Ending violence,GOUVERNANCE,Sécurité,✅ Full
Placing yourself,VITALITÉ,Écosystèmes,✅ Full
Citizen science,VISION,Science,✅ Full
Restoration ecology,VITALITÉ,Régénération,✅ Full
Ecosystem services,VITALITÉ,Écosystèmes,✅ Full
Biodiversity: how much nature is enough?,VITALITÉ,Biodiversité,✅ Full
Sustainable forestry,VITALITÉ,Écosystèmes,✅ Full
Creating rural sustainability in the global south,AGENTIVITÉ,Économie,✅ Full
Future of the small town,COHÉSION,Communauté,✅ Full
Local greenhouse forecast,VITALITÉ,Écosystèmes,✅ Full
Climate foresight,VISION,Prospective,✅ Full
A personal action plan,CONSCIENCE,Finalité,✅ Full
Mapping,VISION,Science,✅ Full
Charting the deep oceans,VITALITÉ,Écosystèmes,✅ Full
Polar regions,VITALITÉ,Écosystèmes,✅ Full
The solar system: greens in space,VISION,Prospective,✅ Full
Imagining the future,CONSCIENCE,Direction Civilisationnelle,✅ Full
Worldchanging Category,Sub-topics,Mapped to Elysium,Coverage
1. Stuff,24,24,**100%**
2. Shelter,22,22,**100%**
3. Cities,16,16,**100%**
4. Community,14,14,**100%**
5. Business,7,7,**100%**
6. Politics,12,12,**100%**
7. Planet,16,16,**100%**
**TOTAL**,**111**,**111**,**100%**
FOUNDATION (Base Matérielle),28,25.2%,100%
VITALITÉ (Vie & Écologie),18,16.2%,100%
AGENTIVITÉ (Économie & Production),22,19.8%,100%
COHÉSION (Communauté & Culture),11,9.9%,100%
GOUVERNANCE (Coordination & Loi),17,15.3%,100%
VISION (Connaissance & Prospective),12,10.8%,100%
CONSCIENCE (Sens & Finalité),3,2.7%,100%
