model_name,source_domain,primary_scale,survival_body,energy,water,food,health,habitat,infrastructure,mobility,materials,ecology,biodiversity,economy,work,value_creation,entrepreneurship,finance,governance,law_justice,security,community,relationships,family,education,culture,art,media,communication,knowledge,science,technology,ai_computation,ethics,meaning,spirituality,consciousness,future_foresight,planetary_direction,civilizational_purpose,notes
Positive Psychology — PERMA / Flourishing,Human Development / Consciousness / Psychology,Individual (with applications to Organization and ,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,2,2,2,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,
Erikson — Psychosocial Stages,Human Development / Consciousness / Psychology,Individual. The model focuses deeply on the indivi,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,2,2,2,1,0,0,1,1,0,0,1,1,2,1,1,1,0,0,
Piaget — Developmental Stages,Human Development / Consciousness / Psychology,Individual (specifically focusing on childhood cog,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,1,2,2,0,1,1,1,0,1,1,0,0,
Kohlberg — Moral Development,Human Development / Consciousness / Psychology,| Individual / Society |,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,
Fowler — Stages of Faith,Human Development / Consciousness / Psychology,Individual (with implications for Community and Sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,1,0,0,1,1,0,0,0,2,2,2,2,0,1,0,
Metamodern Development Models,Human Development / Consciousness / Psychology,Society / Civilization / Individual (Integrates ps,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,
Worldchanging — Alex Steffen,Civilization / Global Transformation / Sustainability,Planet / Civilization / Society / Community / Indi,1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,0,1,0,0,1,1,2,2,2,2,0,0,0,0,2,2,1,
UN Sustainable Development Goals — SDGs,Civilization / Global Transformation / Sustainability,Planet / Civilization / Society,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,0,0,2,0,0,0,1,1,1,2,2,1,0,0,0,1,2,1,
Doughnut Economics — Kate Raworth,Civilization / Global Transformation / Sustainability,Planet / Civilization / Society,2,2,2,2,2,2,1,1,2,2,2,2,2,1,0,1,2,2,1,2,1,0,2,0,0,1,1,1,1,1,2,2,0,0,0,2,2,2,
Planetary Boundaries — Rockström et al.,Civilization / Global Transformation / Sustainability,Planet,1,1,2,1,1,1,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,2,0,
Great Transition Initiative — Paul Raskin / Tellus Institute,Civilization / Global Transformation / Sustainability,Planet / Civilization,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,0,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,
Earth Charter — Earth Charter Commission,Civilization / Global Transformation / Sustainability,Planet / Civilization / Society,2,2,2,2,2,2,1,0,2,2,2,2,1,1,0,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,
Wellbeing Economy frameworks (WEAll),Civilization / Global Transformation / Sustainability,Society / Civilization / Planet,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,0,1,1,1,1,2,2,2,0,0,2,2,2,
OECD Better Life Index,Civilization / Global Transformation / Sustainability,Unknown,2,0,2,0,2,2,1,0,0,1,0,2,2,1,0,2,2,1,2,2,2,1,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,
Social Progress Index,Civilization / Global Transformation / Sustainability,Society / Nation-State (though adaptable to Subnat,2,1,2,2,2,2,1,0,0,2,1,0,0,0,0,0,2,1,2,1,0,0,2,0,0,1,2,2,1,1,2,1,0,0,0,0,0,0,
Human Development Index / UNDP,Civilization / Global Transformation / Sustainability,Society / Civilization (measured at the National/S,1,?,0,0,1,0,0,0,?,0,?,1,1,1,?,0,0,0,0,?,0,?,1,?,?,?,?,1,?,?,2,?,2,?,?,?,?,?,
World Values Survey / Inglehart-Welzel Cultural Map,Civilization / Global Transformation / Sustainability,| Society / Civilization |,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,2,1,2,2,1,2,1,2,0,0,0,0,1,1,2,2,2,0,0,0,0,0,
Club of Rome / Limits to Growth,Civilization / Global Transformation / Sustainability,| Planet / Civilization |,1,1,0,1,0,1,1,0,1,1,?,1,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,2,?,?,?,?,1,1,0,
Toynbee — Challenge and Response,Civilization / Global Transformation / Sustainability,Civilization,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,2,1,2,2,1,0,1,0,1,0,1,1,1,1,0,2,2,2,1,1,1,2,
Oswald Spengler — Decline of Civilizations,Civilization / Global Transformation / Sustainability,Civilization,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,2,2,1,0,2,1,1,0,1,2,2,1,2,0,2,
Ibn Khaldun — Asabiyyah / Civilizational Cycles,Civilization / Global Transformation / Sustainability,Civilization / Society,2,0,1,1,1,2,1,1,0,1,0,2,2,1,0,2,2,2,2,2,2,2,1,2,1,0,1,1,1,0,0,2,1,1,0,2,0,2,
The Collapse of Complex Societies — Joseph Tainter,Civilization / Global Transformation / Sustainability,Civilization / Society,1,2,1,1,0,1,2,1,1,1,0,2,1,2,0,1,2,1,2,1,0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,1,1,1,
Jared Diamond — Collapse,Civilization / Global Transformation / Sustainability,Society / Civilization,2,2,2,2,1,2,1,1,2,2,2,2,1,1,0,1,2,0,2,1,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,2,2,1,
Norberg / Pinker / Progress Narratives,Civilization / Global Transformation / Sustainability,Civilization / Planet (Focuses on macro-historical,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,?,0,0,0,1,1,?,0,?,?,?,1,0,?,
Donella Meadows — Leverage Points,Systems / Cybernetics / Complexity,Organization / Society / Civilization / Planet (Ap,0,1,1,1,0,1,2,1,2,2,1,2,0,1,0,1,2,1,0,0,1,0,1,2,0,1,2,2,1,1,0,1,1,1,2,2,2,2,
Peter Senge — Learning Organizations / The Fifth Discipline,Systems / Cybernetics / Complexity,Organization (with strong foundations in Individua,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,2,0,0,2,2,0,2,2,0,0,2,2,1,0,0,1,2,1,2,2,0,0,
Stafford Beer — Viable System Model,Systems / Cybernetics / Complexity,"Organization (but scale-free/recursive, applicable",0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,2,1,1,1,1,0,0,1,0,0,2,2,1,1,0,1,1,0,0,2,1,1,
Complex Adaptive Systems — Santa Fe Institute,Systems / Cybernetics / Complexity,Other (Scale-agnostic / Universal). It applies acr,1,2,0,0,1,1,1,1,0,2,2,2,1,1,1,2,1,0,1,2,2,1,1,1,0,0,2,2,2,2,1,0,0,0,1,2,1,0,
Stewart Brand — Pace Layers,Systems / Cybernetics / Complexity,Civilization / Planet,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,0,1,2,2,2,1,2,1,2,2,1,1,1,1,0,2,2,2,
Buckminster Fuller — World Game / Comprehensive Anticipatory Design Science,Systems / Cybernetics / Complexity,Planet / Civilization,?,1,0,0,0,1,1,1,1,1,0,0,?,0,?,?,?,?,?,?,?,?,0,?,?,?,0,1,1,1,?,?,0,?,?,1,1,1,
General Systems Theory — Ludwig von Bertalanffy,Systems / Cybernetics / Complexity,All (Individual / Community / Society / Civilizati,2,2,1,1,2,1,1,1,1,2,1,1,1,1,0,1,1,0,1,2,2,1,1,2,1,1,2,2,2,2,2,0,1,1,1,1,1,1,
Cybernetics — Norbert Wiener / W. Ross Ashby,Systems / Cybernetics / Complexity,Organization / Society / Technological / Biologica,2,1,0,0,1,0,1,1,0,2,1,1,0,0,0,0,2,0,1,1,2,0,1,0,0,1,2,1,2,2,2,0,0,0,0,1,1,0,
Socio-Technical Systems Theory — Tavistock Institute,Systems / Cybernetics / Complexity,Organization (with implications for Society and Te,1,1,0,0,1,0,1,0,1,0,0,2,1,2,1,0,2,0,1,2,2,0,1,2,0,0,2,2,1,2,1,1,1,0,0,1,0,0,
Transition Management Frameworks — Dutch School,Systems / Cybernetics / Complexity,Society / Civilization / Planet,0,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,0,0,1,1,0,1,1,?,2,2,0,1,0,0,0,2,2,1,
Theory U — Otto Scharmer,Systems / Cybernetics / Complexity,Organization / Society / Individual (It explicitly,?,?,?,?,0,?,?,?,?,1,?,0,1,1,0,0,1,?,?,1,1,?,1,1,0,?,1,1,0,0,2,1,1,1,1,1,?,1,
Agile / Lean / Adaptive Organization Models,Systems / Cybernetics / Complexity,Organization (with strong implications for Individ,0,0,0,0,0,0,1,0,1,0,0,2,2,2,2,1,2,0,0,2,2,0,1,2,0,0,2,2,1,2,2,1,1,0,0,1,0,0,
DAO / Network Governance Models,Systems / Cybernetics / Complexity,Organization / Community / Society.,0,?,?,?,?,?,1,?,?,0,?,2,1,2,1,2,2,1,1,2,?,?,?,?,1,?,1,?,?,2,2,?,0,?,?,1,?,?,
Resilience Theory — C.S. Holling / Stockholm Resilience Centre,Systems / Cybernetics / Complexity,Society / Civilization / Planet / Ecosystems (Soci,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,1,1,?,
Panarchy Theory — Gunderson & Holling,Systems / Cybernetics / Complexity,Planet / Ecosystem / Society / Organization (It is,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,2,0,0,
Permaculture Ethics and Principles — Bill Mollison & David Holmgren,Ecology / Living Systems / Regeneration,Community / Society / Planet (with applications ra,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,0,1,0,1,2,1,1,1,1,0,0,0,1,1,1,2,2,1,1,0,2,2,1,
Regenerative Design Frameworks — John T. Lyle / Bill Reed / Carol Sanford,Ecology / Living Systems / Regeneration,Organization / Community / Planet. The framework b,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,0,2,2,1,2,2,1,0,1,2,1,1,1,2,2,2,2,2,2,2,
Biomimicry — Janine Benyus,Ecology / Living Systems / Regeneration,| Organization / Technological / Civilization (foc,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,?,0,?,?,0,?,?,?,?,?,?,?,?,1,1,2,?,?,?,?,0,1,?,
Ecosystem Services Frameworks — Millennium Ecosystem Assessment / TEEB,Ecology / Living Systems / Regeneration,| Planet / Civilization / Society |,1,0,1,1,1,1,0,?,0,1,1,1,?,1,?,?,0,0,0,0,?,?,?,0,?,?,?,?,?,?,2,?,0,?,?,0,1,?,
Gaia Theory — James Lovelock & Lynn Margulis,Ecology / Living Systems / Regeneration,Planet,0,1,1,0,1,1,?,?,?,1,1,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,1,0,?,?,?,?,?,1,1,?,
Deep Ecology — Arne Næss,Ecology / Living Systems / Regeneration,"of application encompasses the Planet, Civilizatio",1,1,1,1,?,1,0,0,0,2,2,1,0,0,0,0,1,0,0,1,2,?,1,?,0,0,0,0,0,0,2,2,2,2,2,1,2,2,
Social Ecology — Murray Bookchin,Ecology / Living Systems / Regeneration,Society / Civilization (with strong emphasis on th,?,?,?,?,?,0,?,0,?,1,1,0,0,0,?,?,1,?,?,1,?,?,0,0,?,?,?,0,0,0,2,1,?,?,?,1,1,1,
Circular Economy — Ellen MacArthur Foundation,Ecology / Living Systems / Regeneration,Society / Civilization / Planet / Organization,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,0,0,1,0,0,1,0,0,0,0,1,2,2,2,1,0,0,0,2,2,1,
Cradle to Cradle — McDonough & Braungart,Ecology / Living Systems / Regeneration,Civilization / Planet / Organization (Industrial s,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,0,0,0,1,0,0,0,1,1,0,0,1,2,2,1,1,0,0,0,2,2,1,
Natural Step Framework — Karl-Henrik Robèrt,Ecology / Living Systems / Regeneration,| Organization / Society / Planet |,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,?,?,0,?,?,?,?,?,0,0,2,0,?,?,?,1,1,0,
Ecological Economics — Herman Daly / Robert Costanza,Ecology / Living Systems / Regeneration,Civilization / Planet (focuses on the human econom,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,0,0,1,1,0,0,0,1,2,1,0,2,1,0,0,2,2,2,
Landscape Ecology — Forman / Godron,Ecology / Living Systems / Regeneration,Planet / Ecosystem / Landscape (Regional to Local ,1,2,2,1,1,2,2,2,2,2,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,1,0,
Bioregionalism — Peter Berg & Kirkpatrick Sale,Ecology / Living Systems / Regeneration,Community / Society / Planet. The model specifical,1,0,1,1,?,1,0,0,0,1,1,1,0,0,?,?,1,0,0,1,0,0,0,1,0,?,?,?,?,?,2,0,1,0,0,?,1,?,
Indigenous Ecological Knowledge — TEK / Robin Wall Kimmerer / Berkes,Ecology / Living Systems / Regeneration,Planet / Civilization / Community / Spiritual (It ,2,1,2,2,2,2,1,1,2,2,2,1,2,2,0,0,2,2,1,2,2,2,2,2,2,0,1,2,2,1,2,2,2,2,2,2,2,2,
Capitalism / Post-Capitalism Models — overview,Economy / Technology / Future,Society / Civilization / Planet,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,0,1,1,0,1,2,2,2,2,2,1,0,0,0,2,2,2,
Commons Models — Elinor Ostrom,Economy / Technology / Future,"Community, Organization, and Society, with applica",1,1,2,2,0,1,2,0,1,2,2,2,1,1,1,0,2,2,1,2,2,0,1,1,?,0,1,2,1,1,1,1,0,0,0,1,1,0,
Mariana Mazzucato — Mission Economy,Economy / Technology / Future,Society / Organization / Planet,?,0,?,?,1,?,0,0,0,1,0,1,0,1,1,1,1,0,?,?,?,?,0,?,?,?,?,?,1,1,0,?,?,?,?,?,1,0,
Jeremy Rifkin — Third Industrial Revolution / Zero Marginal Cost Society,Economy / Technology / Future,Civilization / Planet,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,0,1,1,0,2,2,2,2,2,2,1,1,0,2,2,2,2,
Carlota Perez — Technological Revolutions,Economy / Technology / Future,Society / Civilization / Technological / Economic,0,2,0,1,0,1,2,2,2,1,0,2,0,2,2,2,2,1,0,1,0,0,1,1,0,1,2,2,1,2,0,0,0,0,0,2,1,0,
Post-Scarcity / Abundance Frameworks,Economy / Technology / Future,Civilization / Planet / Technological,2,2,2,2,2,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1,0,0,2,1,1,1,2,2,2,2,2,1,1,0,0,2,2,2,
Web3 / Decentralization / DAO Governance,Economy / Technology / Future,Organization / Community / Society / Civilization,1,1,0,0,1,2,2,1,0,0,0,2,2,2,2,2,2,2,1,2,1,0,1,2,1,2,2,2,1,2,1,1,1,0,0,2,2,2,
"AI Transformation Frameworks (Kai-Fu Lee, Stuart Russell, Mustafa Suleyman)",Economy / Technology / Future,Civilization / Planet,?,?,?,?,0,?,0,0,?,?,?,1,1,1,?,?,1,0,1,?,?,?,0,?,?,?,0,0,1,1,1,1,?,?,?,1,1,1,
Automation / Future of Work,Economy / Technology / Future,Society / Economy / Organization.,?,?,?,?,?,?,?,?,?,2,?,1,1,1,?,?,0,0,0,0,?,?,1,?,?,?,?,?,1,1,2,?,?,2,?,0,?,?,
Universal Basic Income / Universal Basic Services,Economy / Technology / Future,Society / Civilization,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,0,1,1,0,2,2,2,1,0,0,2,1,1,
Energy Transition Models,Economy / Technology / Future,Civilization / Planet (with implications for Socie,1,2,1,1,1,1,2,2,1,1,0,2,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,2,2,1,
Smart City Frameworks,Economy / Technology / Future,Community / Society / Organization.,1,2,2,1,2,2,2,2,1,1,0,2,1,2,1,1,2,1,2,1,0,0,1,1,0,1,2,1,1,2,1,1,0,0,0,2,1,0,
Industry 4.0 / Society 5.0,Economy / Technology / Future,Society / Civilization / Technological.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,
Open-Source Economy (Commons-Based Peer Production),Economy / Technology / Future,Society / Civilization / Technological,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,0,2,2,1,2,2,2,2,2,2,2,1,0,0,2,2,2,
Platform Cooperativism — Trebor Scholz,Economy / Technology / Future,Organization / Society (Focuses on organizational ,?,?,?,?,?,?,0,0,?,?,?,1,1,1,1,?,1,1,?,1,0,?,0,?,?,0,0,?,?,1,?,1,?,?,?,0,?,?,
Degrowth / Post-Growth,Economy / Technology / Future,Civilization / Planet / Society,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,0,2,2,1,1,2,2,2,
Doughnut / Wellbeing / Regenerative Economics,Economy / Technology / Future,Planet / Civilization / Society,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,0,2,1,0,0,0,1,1,1,0,2,1,0,0,2,2,2,
Society 5.0 + Fourth Industrial Revolution,Economy / Technology / Future,Civilization / Planet / Society.,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,?,1,?,?,0,0,0,1,1,2,0,?,?,?,1,1,0,
Aristotle — Eudaimonia / Virtue Ethics / Polis,Philosophy / Traditions / Spirituality / Wisdom,| Individual / Community / Society |,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,2,2,1,2,2,1,2,1,1,0,1,2,2,0,1,0,2,1,1,0,0,1,
Plato — Tripartite Soul / Ideal City,Philosophy / Traditions / Spirituality / Wisdom,Individual / Society / Civilization,1,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,2,2,2,2,1,1,1,2,1,0,1,2,1,0,1,2,2,2,2,1,0,2,
Stoicism — Epictetus / Marcus Aurelius / Seneca,Philosophy / Traditions / Spirituality / Wisdom,Individual / Community / Civilization / Spiritual,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,2,2,1,2,1,0,0,1,2,1,0,1,0,2,2,2,1,1,1,
Buddhism — Four Noble Truths / Eightfold Path,Philosophy / Traditions / Spirituality / Wisdom,Individual / Spiritual (with strong implications f,1,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,1,2,1,0,0,2,2,1,0,1,2,2,2,2,1,1,1,
Advaita Vedanta / Non-Dual Frameworks — Advaita / Shankara,Philosophy / Traditions / Spirituality / Wisdom,Spiritual / Individual (leading to Universal).,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,2,1,2,0,1,1,1,0,1,1,2,2,0,0,0,0,
Taoism — Lao Tzu / Zhuangzi,Philosophy / Traditions / Spirituality / Wisdom,Individual / Spiritual / Civilization,1,2,2,1,2,1,0,0,0,2,1,0,1,0,0,0,2,0,1,1,1,1,0,1,2,0,1,1,0,0,0,1,2,2,2,1,1,1,
Confucianism — Confucius / Mencius,Philosophy / Traditions / Spirituality / Wisdom,| Society / Community / Individual (with extension,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,2,1,1,2,2,1,2,1,0,0,1,1,0,0,1,2,2,1,1,1,1,2,
Ubuntu — African Philosophy,Philosophy / Traditions / Spirituality / Wisdom,Community / Society / Individual (Relational).,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,2,2,1,2,2,2,1,2,1,0,2,1,0,0,1,2,2,2,1,1,1,2,
Indigenous Worldviews — Relationality / Reciprocity / Land,Philosophy / Traditions / Spirituality / Wisdom,Planet / Community / Spiritual / Civilization,2,1,2,2,2,2,1,1,1,2,2,1,1,1,0,0,2,2,1,2,2,2,2,2,2,0,2,2,1,1,0,2,2,2,2,2,2,2,
Catholic Social Teaching,Philosophy / Traditions / Spirituality / Wisdom,While the model addresses all scales from the indi,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,
Jewish Social Ethics — Tikkun Olam,Philosophy / Traditions / Spirituality / Wisdom,Community / Society / Civilization.,0,?,?,0,0,0,?,?,?,0,0,1,1,1,?,1,1,1,?,1,1,1,0,0,?,?,?,0,?,?,2,1,1,1,?,1,?,1,
Islamic Social Ethics — Maqasid al-Shariah,Philosophy / Traditions / Spirituality / Wisdom,Society / Community / Individual (with implication,2,0,1,1,2,1,1,1,1,1,0,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,
Hindu Purusharthas — Four Aims of Life,Philosophy / Traditions / Spirituality / Wisdom,| Individual / Society / Spiritual |,2,0,0,1,2,1,1,0,1,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,1,2,1,0,2,2,2,2,2,1,0,2,
Traditional Four Elements — Greek / Western,Philosophy / Traditions / Spirituality / Wisdom,All scales (Microcosm-Macrocosm analogy connects I,2,2,2,1,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,1,2,2,1,0,1,0,
Chinese Five Elements / Wu Xing,Philosophy / Traditions / Spirituality / Wisdom,"All scales (Individual, Community, Society, Civili",2,2,2,2,2,2,1,1,2,2,2,1,1,1,0,0,2,1,1,2,2,2,?,?,2,0,1,2,1,1,2,2,2,2,2,2,2,2,
Ayurveda — Vedic Medicine,Philosophy / Traditions / Spirituality / Wisdom,Individual (with strong implications for the Spiri,2,2,2,2,2,1,0,1,1,2,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,2,0,2,2,2,2,2,1,1,1,
Kabbalistic Tree of Life / Hermetic-Alchemical Models,Philosophy / Traditions / Spirituality / Wisdom,Spiritual / Individual / Cosmic (Microcosm-Macroco,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,2,2,2,2,1,1,1,
Gross National Happiness — Bhutan,Discovered Additional Models,Society / Civilization,2,1,1,1,2,2,1,1,1,2,2,1,2,1,0,1,2,2,2,2,2,2,2,2,2,0,1,2,1,0,2,2,2,2,2,1,1,2,
Buen Vivir / Sumak Kawsay — Andean Indigenous Philosophy,Discovered Additional Models,Society / Planet (with strong roots in Community a,2,1,2,2,2,2,1,0,1,2,2,1,1,1,0,0,2,2,1,2,2,2,2,2,1,0,1,2,1,0,2,2,2,2,2,1,2,2,
Genuine Progress Indicator — GPI,Discovered Additional Models,Society / Nation / State.,1,2,2,1,1,1,2,2,2,2,1,2,2,2,0,1,0,1,1,2,1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,
Capability Approach — Amartya Sen / Martha Nussbaum,Discovered Additional Models,Individual / Society,2,0,1,2,2,2,1,2,0,1,1,1,2,1,0,0,2,2,2,2,2,2,2,2,1,1,1,2,0,0,0,2,2,1,1,0,0,0,
Manfred Max-Neef — Human Scale Development,Discovered Additional Models,Society / Community / Individual. The model explic,2,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,
Frederic Laloux — Reinventing Organizations / Teal,Discovered Additional Models,Organization,0,0,0,0,1,0,0,0,0,1,0,1,2,2,2,1,2,0,0,2,2,1,1,2,0,0,2,1,0,1,0,2,2,2,2,1,1,1,
Daniel Schmachtenberger — Civilizational Risk / Game B,Discovered Additional Models,Civilization / Planet,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,0,1,1,0,2,2,2,2,2,2,2,1,0,1,2,2,2,
Nora Bateson — Warm Data / Symmathesy,Discovered Additional Models,All scales (Individual / Community / Society / Civ,1,1,1,2,2,1,1,1,0,2,2,2,1,1,0,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,
